 gupnp-igd, A library to handle UPnP IGD port mapping
 gvfs, Virtual filesystem implementation for GIO
 gvfs-mtp, Virtual filesystem implementation for GIO - MTP backend (Android media player)
 gzip, GNU compression utility
 harfbuzz, OpenType text shaping engine
 harfbuzz-icu, OpenType text shaping engine - ICU integration
 hicolor-icon-theme, Freedesktop.org Hicolor icon theme
 hidapi, Simple library for communicating with USB and Bluetooth HID devices
 highway, A C++ library that provides portable SIMD/vector intrinsics
 htop, Interactive process viewer
 http-parser, Parser for HTTP Request/Response written in C
 hunspell, Spell checker and morphological analyzer library and program
 hwdata, hardware identification databases
 hyphen, library for high quality hyphenation and justification
 i3-wm, Improved dynamic tiling window manager
 i3blocks, Define blocks for your i3bar status line
 i3lock-color-git, The world's most popular non-default computer lockscreen.
 iana-etc, /etc/protocols and /etc/services provided by IANA
 icu, International Components for Unicode library
 ijs, a library which implements a protocol for transmission of raster page images
 imagemagick, An image viewing/manipulation program
 imath, A C++ and python library of 2D and 3D vector matrix and math operations for computer graphics
 imlib2, Library that does image file loading and saving as well as rendering manipulation arbitrary polygon support
 inetutils, A collection of common network programs
 inkscape, Professional vector graphics editor
 iproute2, IP Routing Utilities
 iptables, Linux kernel packet control tool (using legacy interface)
 iputils, Network monitoring tools including ping
 ipython, Enhanced Interactive Python shell
 iso-codes, Lists of the country language and currency names
 jack2, The JACK low-latency audio server
 jansson, C library for encoding decoding and manipulating JSON data
 jasper, Software-based implementation of the codec specified in the emerging JPEG-2000 Part-1 standard
 java-commons-lang, A host of helper utilities for the java.lang API
 java-environment-common, Common files for Java Development Kits
 java-runtime-common, Common files for Java Runtime Environments
 jbig2dec, Decoder implementation of the JBIG2 image compression format
 jbigkit, Data compression library/utilities for bi-level high-resolution images
 jdk-openjdk, OpenJDK Java 22 development kit
 jdk8-openjdk, OpenJDK Java 8 development kit
 jhelioviewer-debug, Detached debugging symbols for jhelioviewer
 jmtpfs, FUSE and libmtp based filesystem for accessing MTP (Media Transfer Protocol) devices
 jre8-openjdk, OpenJDK Java 8 full runtime environment
 jre8-openjdk-headless, OpenJDK Java 8 headless runtime environment
 json-c, A JSON implementation in C
 json-glib, JSON library built on GLib
 jsoncpp, C++ library for interacting with JSON
 jupyter-nbclient, A tool for running Jupyter Notebooks in different execution contexts
 jupyter-nbconvert, Jupyter Notebook Conversion
 jupyter-nbformat, The base implementation of the Jupyter Notebook format and Python APIs for working with notebooks
 jupyter-notebook, The language-agnostic HTML notebook application for Project Jupyter
 jupyter-notebook-shim, Provides a way for JupyterLab and other frontends to switch to Jupyter Server for their Python Web application backend
 jupyter-server, Provides the backend for Jupyter web applications like Jupyter notebook JupyterLab and Voila
 jupyterlab, JupyterLab computational environment
 jupyterlab-pygments, Pygments theme using JupyterLab CSS variables
 kaccounts-integration, Online account management system and its Plasma integration components
 karchive, Qt addon providing access to numerous types of archives
 kauth, Abstraction to system policy and authentication features
 kbd, Keytable files and keyboard utilities
 kbookmarks, Support for bookmarks and the XBEL format
 kcmutils, Utilities for interacting with KCModules
 kcodecs, Provide a collection of methods to manipulate strings using various encodings
 kcolorscheme, Classes to read and interact with KColorScheme
 kcompletion, Text completion helpers and widgets
 kconfig, Configuration system
 kconfigwidgets, Widgets for KConfig
 kcoreaddons, Addons to QtCore
 kcrash, Support for application crash analysis and bug report from apps
 kdbusaddons, Addons to QtDBus
 kdenlive, A non-linear video editor for Linux using the MLT video framework
 kdnssd, Abstraction to system DNSSD features
 kdsoap-qt6, Qt-based client-side and server-side SOAP component
 kdsoap-ws-discovery-client, WS-Discovery client library based on KDSoap
 keyutils, Linux Key Management Utilities
 kfilemetadata, A library for extracting file metadata
 kglobalaccel, Add support for global workspace shortcuts
 kguiaddons, Addons to QtGui
 ki18n, Advanced internationalization framework
 kiconthemes, Support for icon themes
 kidletime, Monitoring user activity
 kio, Resource and network access abstraction
 kio-extras, Additional components to increase the functionality of KIO
 kirigami, A QtQuick based components set
 kitemmodels, Models for Qt Model/View system
 kitemviews, Widget addons for Qt Model/View
 kitty, A modern hackable featureful OpenGL-based terminal emulator
 kitty-shell-integration, Shell integration scripts for kitty an OpenGL-based terminal emulator
 kitty-terminfo, Terminfo for kitty an OpenGL-based terminal emulator
 kjobwidgets, Widgets for tracking KJob instances
 kmod, Linux kernel module management tools and library
 knewstuff, Support for downloading application assets from the network
 knotifications, Abstraction for system notifications
 knotifyconfig, Configuration system for KNotify
 kpackage, Framework that lets applications manage user installable packages of non-binary assets
 kparts, Document centric plugin system
 krb5, The Kerberos network authentication system
 kservice, Advanced plugin and service introspection
 ktextwidgets, Advanced text editing widgets
 kuserfeedback, Framework for collecting user feedback for applications via telemetry and surveys
 kwallet, Secure and unified container for user passwords
 kwidgetsaddons, Addons to QtWidgets
 kwindowsystem, Access to the windowing system
 kxmlgui, User configurable main windows
 l-smash, MP4 muxer and other tools
 lame, A high quality MPEG Audio Layer III (MP3) encoder
 languagetool, An open source language checker
 lapack, Linear Algebra PACKage
 lcms2, Small-footprint color management engine version 2
 ldb, Schema-less ldap like API and database
 ldoc, LuaDoc-compatible documentation generation system
 lensfun, Database of photographic lenses and a library that allows advanced access to the database
 leptonica, Software that is broadly useful for image processing and image analysis applications
 less, A terminal based program for viewing text files
 lf, A terminal file manager inspired by ranger
 lib2geom, Easy to use 2D geometry library in C++
 lib32-gcc-libs, 32-bit runtime libraries shipped by GCC
 lib32-glibc, GNU C Library (32-bit)
 lib32-ncurses-git, System V Release 4.0 curses emulation library (32-bit)
 lib32-ncurses5-compat-libs, System V Release 4.0 curses emulation library (32-bit) ABI 5
 libabw, a library that parses the file format of AbiWord documents
 libaccounts-glib, Glib-based client library for accessing the online accounts database
 libaccounts-qt, Qt-based client library for accessing the online accounts database
 libadwaita, Building blocks for modern adaptive GNOME applications
 libao, Cross-platform audio output library and plugins
